rank,province,gdp_cny_billion,growth_pct
1,广东,135673.16,4.8
2,江苏,128192.2,5.8
3,山东,92292.4,6.0
4,浙江,82553.0,6.0
5,河南,59132.39,4.1
6,四川,60132.9,6.0
7,湖北,55803.63,6.0
8,福建,54355.1,4.5
9,湖南,50012.85,4.6
10,安徽,47050.6,5.8
11,上海,47218.66,5.0
12,河北,43944.1,5.5
13,北京,43760.7,5.2
14,陕西,33786.07,4.3
15,江西,32200.1,4.1
16,重庆,30145.79,6.1
17,辽宁,30209.4,5.3
18,云南,30021.0,4.4
19,广西,27201.8,4.1
20,山西,22307.4,5.0
21,内蒙古,24627.0,7.3
22,贵州,20913.25,4.9
23,新疆,19125.91,6.8
24,天津,16737.3,4.3
25,黑龙江,15883.9,2.6
26,吉林,13531.19,6.3
27,甘肃,11863.8,6.4
28,海南,7551.18,9.2
29,宁夏,5315.0,6.6
30,青海,3799.1,5.3
31,西藏,2392.96,9.5
